13,27,11,29,25,6,16,8,19,24,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,
14,25,6,29,11,27,3,21,23,28,22,7,30,8,16,,,,,
27,11,29,3,21,23,28,22,,,,,,,,,,,,
3,21,23,28,22,6,25,29,27,11,,,,,,,,,,
23,28,22,21,3,27,29,6,25,14,,,,,,,,,,
10,3,23,28,25,6,22,,,,,,,,,,,,,
6,25,29,27,11,3,21,23,22,28,7,1,30,16,8,15,19,,,
21,3,27,11,29,25,6,22,28,23,7,30,1,16,8,15,19,,,
23,3,21,28,22,6,25,29,11,27,13,,,,,,,,,
25,6,22,28,,,,,,,,,,,,,,,,
16,8,30,7,24,19,15,,,,,,,,,,,,,
25,6,29,11,27,3,21,23,22,28,,,,,,,,,,
3,21,23,28,22,6,25,29,27,,,,,,,,,,,
4,7,28,23,12,,,,,,,,,,,,,,,
6,25,29,27,9,,,,,,,,,,,,,,,
28,22,23,21,3,27,29,25,6,7,30,1,24,,,,,,,
22,28,23,10,12,,,,,,,,,,,,,,,
7,30,1,16,8,24,19,15,,,,,,,,,,,,
10,3,21,23,28,22,,,,,,,,,,,,,,
20,18,25,6,29,11,,,,,,,,,,,,,,
22,28,23,21,6,25,29,27,13,,,,,,,,,,,
17,14,18,,,,,,,,,,,,,,,,,
9,27,11,29,,,,,,,,,,,,,,,,
21,3,27,11,29,25,6,22,23,28,,,,,,,,,,
2,14,25,29,11,27,9,,,,,,,,,,,,,
20,18,2,14,19,,,,,,,,,,,,,,,
16,8,6,22,28,23,21,3,,,,,,,,,,,,
30,7,22,28,23,21,3,29,27,9,,,,,,,,,,
27,11,29,25,6,16,,,,,,,,,,,,,,
22,28,23,21,3,29,11,25,6,,,,,,,,,,,
3,27,29,6,25,14,17,,,,,,,,,,,,,
15,19,24,8,16,25,29,11,27,3,10,,,,,,,,,
30,1,7,,,,,,,,,,,,,,,,,
25,6,29,11,3,21,23,28,22,,,,,,,,,,,
7,30,16,24,1,,,,,,,,,,,,,,,
9,27,11,29,25,6,8,30,7,,,,,,,,,,,
13,27,29,3,21,23,28,22,6,25,16,,,,,,,,,
3,21,23,28,22,6,25,29,27,13,,,,,,,,,,
3,27,29,25,6,22,28,23,7,30,1,24,15,19,,,,,,
25,6,29,11,27,3,21,23,28,22,,,,,,,,,,
7,30,22,6,29,27,26,,,,,,,,,,,,,
27,11,29,25,6,22,28,7,30,1,24,19,15,,,,,,,
25,6,22,28,23,21,3,27,29,,,,,,,,,,,
14,4,16,24,1,7,30,,,,,,,,,,,,,
11,29,3,21,23,,,,,,,,,,,,,,,
6,25,29,27,3,21,23,22,28,,,,,,,,,,,
22,28,23,21,3,12,,,,,,,,,,,,,,
13,27,11,29,25,6,,,,,,,,,,,,,,
24,14,2,,,,,,,,,,,,,,,,,
4,16,24,1,30,7,22,28,23,21,3,27,29,6,25,,,,,
11,27,3,21,23,28,22,6,25,29,,,,,,,,,,
1,7,30,16,4,,,,,,,,,,,,,,,
6,25,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
21,23,28,22,,,,,,,,,,,,,,,,
19,2,17,14,,,,,,,,,,,,,,,,
10,21,23,28,7,30,22,6,25,29,27,26,,,,,,,,
22,28,6,25,29,11,27,3,21,23,,,,,,,,,,
20,18,14,25,6,22,21,23,28,7,30,16,,,,,,,,
26,13,,,,,,,,,,,,,,,,,,
13,27,29,3,21,23,28,22,6,25,16,4,30,7,1,,,,,
1,7,30,16,,,,,,,,,,,,,,,,
14,16,30,7,1,,,,,,,,,,,,,,,
20,18,2,14,25,6,22,28,23,21,,,,,,,,,,
19,24,16,8,30,7,22,28,23,21,3,10,,,,,,,,
27,12,,,,,,,,,,,,,,,,,,
4,8,16,24,1,30,7,22,28,23,21,3,27,11,29,25,,,,
21,22,28,23,7,30,1,8,16,4,,,,,,,,,,
6,25,29,11,27,3,21,23,28,22,7,1,30,,,,,,,
1,8,30,7,,,,,,,,,,,,,,,,
25,14,17,,,,,,,,,,,,,,,,,
16,8,1,7,30,,,,,,,,,,,,,,,
26,27,29,3,21,23,28,22,6,25,2,14,,,,,,,,
20,2,14,4,8,,,,,,,,,,,,,,,
6,25,14,17,,,,,,,,,,,,,,,,
16,28,12,,,,,,,,,,,,,,,,,
22,6,25,14,17,,,,,,,,,,,,,,,
