"photoID";"userID";"dateTaken";"poiID";"poiTheme";"poiFreq";"seqID"
7158915820;"11146442@N00";1336155672;1;"Structure";256;1
7158914400;"11146442@N00";1336156397;7;"Park";329;1
7158907712;"11146442@N00";1336157902;7;"Park";329;1
7158905954;"11146442@N00";1336158437;6;"Park";500;1
7158899778;"11146442@N00";1336170989;23;"Entertainment";128;1
8299832691;"11587194@N06";1354521392;18;"Transport";87;2
8300885686;"11587194@N06";1354521856;6;"Park";500;2
8299829997;"11587194@N06";1354522098;6;"Park";500;2
8300898466;"11587194@N06";1354522813;6;"Park";500;2
8299860749;"11587194@N06";1354524739;1;"Structure";256;2
8300981082;"11587194@N06";1354928095;17;"Transport";302;3
8301055110;"11587194@N06";1354955510;18;"Transport";87;3
8301055952;"11587194@N06";1354955513;18;"Transport";87;3
8300076365;"11587194@N06";1355129963;19;"Transport";133;4
8301131124;"11587194@N06";1355130052;19;"Transport";133;4
8300101561;"11587194@N06";1355302743;19;"Transport";133;5
8309896378;"11587194@N06";1355478403;18;"Transport";87;6
7201570110;"11845746@N00";1337063691;13;"Cultural";412;7
8306419872;"12199582@N00";1356246179;12;"Cultural";135;8
8306420270;"12199582@N00";1356246224;12;"Cultural";135;8
8305372269;"12199582@N00";1356246267;12;"Cultural";135;8
8305372553;"12199582@N00";1356246293;12;"Cultural";135;8
8305372955;"12199582@N00";1356246349;12;"Cultural";135;8
8305373215;"12199582@N00";1356246635;12;"Cultural";135;8
8306421930;"12199582@N00";1356246645;12;"Cultural";135;8
8306422192;"12199582@N00";1356246655;12;"Cultural";135;8
8305374501;"12199582@N00";1356249089;12;"Cultural";135;8
8305374793;"12199582@N00";1356251821;12;"Cultural";135;8
8429015977;"12288823@N07";1359543824;20;"Transport";300;9
8464205683;"12288823@N07";1360580499;13;"Cultural";412;10
8496751941;"12288823@N07";1361525201;12;"Cultural";135;11
14018627681;"12288823@N07";1398526485;3;"Structure";244;12
13999820816;"12288823@N07";1398532256;3;"Structure";244;12
1667920402;"15213592@N03";1063418642;19;"Transport";133;13
1667920460;"15213592@N03";1063418655;19;"Transport";133;13
1667920472;"15213592@N03";1063418766;19;"Transport";133;13
1667920498;"15213592@N03";1063418780;19;"Transport";133;13
3277177439;"15213592@N03";1075516766;20;"Transport";300;14
3287663982;"15213592@N03";1075516800;20;"Transport";300;14
3277999268;"15213592@N03";1075516863;20;"Transport";300;14
3277178941;"15213592@N03";1075516888;20;"Transport";300;14
3278000924;"15213592@N03";1075516901;20;"Transport";300;14
3286845621;"15213592@N03";1075516931;20;"Transport";300;14
3286846239;"15213592@N03";1075516951;20;"Transport";300;14
3277180979;"15213592@N03";1075517068;20;"Transport";300;14
3287665780;"15213592@N03";1075517086;20;"Transport";300;14
3278002610;"15213592@N03";1075517111;20;"Transport";300;14
3287666416;"15213592@N03";1075517122;20;"Transport";300;14
3278003362;"15213592@N03";1075517178;20;"Transport";300;14
3277183353;"15213592@N03";1075517208;20;"Transport";300;14
3277184173;"15213592@N03";1075517252;20;"Transport";300;14
3278005680;"15213592@N03";1075517267;20;"Transport";300;14
3277185995;"15213592@N03";1075517308;20;"Transport";300;14
3278007390;"15213592@N03";1075517323;20;"Transport";300;14
3277187451;"15213592@N03";1075517361;20;"Transport";300;14
3287666966;"15213592@N03";1075517860;20;"Transport";300;14
3286848447;"15213592@N03";1075517895;20;"Transport";300;14
3286848939;"15213592@N03";1075517911;20;"Transport";300;14
3287668674;"15213592@N03";1075517922;20;"Transport";300;14
3287669192;"15213592@N03";1075517943;20;"Transport";300;14
3286850619;"15213592@N03";1075517955;20;"Transport";300;14
3287670494;"15213592@N03";1075518025;20;"Transport";300;14
3286851987;"15213592@N03";1075518051;20;"Transport";300;14
3286852605;"15213592@N03";1075518116;20;"Transport";300;14
3277193093;"15213592@N03";1075518126;20;"Transport";300;14
3277193911;"15213592@N03";1075518137;20;"Transport";300;14
3287672312;"15213592@N03";1075518163;20;"Transport";300;14
3277194627;"15213592@N03";1075518203;20;"Transport";300;14
3286853747;"15213592@N03";1075518211;20;"Transport";300;14
3277195403;"15213592@N03";1075518306;20;"Transport";300;14
3277196211;"15213592@N03";1075518314;20;"Transport";300;14
3277197023;"15213592@N03";1075518331;20;"Transport";300;14
3277197895;"15213592@N03";1075518346;20;"Transport";300;14
3286854225;"15213592@N03";1075518361;20;"Transport";300;14
3296256755;"15213592@N03";1079063354;22;"Entertainment";177;15
3296257365;"15213592@N03";1079063378;22;"Entertainment";177;15
3297083148;"15213592@N03";1079063414;22;"Entertainment";177;15
3296258589;"15213592@N03";1079063424;22;"Entertainment";177;15
3297084304;"15213592@N03";1079063457;22;"Entertainment";177;15
3297084866;"15213592@N03";1079063504;22;"Entertainment";177;15
3296260385;"15213592@N03";1079063515;22;"Entertainment";177;15
3297086080;"15213592@N03";1079063548;22;"Entertainment";177;15
3297086688;"15213592@N03";1079063563;22;"Entertainment";177;15
3296262411;"15213592@N03";1079063583;22;"Entertainment";177;15
3296263049;"15213592@N03";1079063781;22;"Entertainment";177;15
3297088692;"15213592@N03";1079063794;22;"Entertainment";177;15
2933313926;"15213592@N03";1079064590;19;"Transport";133;15
2933315156;"15213592@N03";1079064604;19;"Transport";133;15
2933316194;"15213592@N03";1079064620;19;"Transport";133;15
2932459409;"15213592@N03";1079064642;19;"Transport";133;15
2933318398;"15213592@N03";1079064651;19;"Transport";133;15
2932461603;"15213592@N03";1079064672;19;"Transport";133;15
2932462777;"15213592@N03";1079064691;19;"Transport";133;15
2933321794;"15213592@N03";1079064710;19;"Transport";133;15
2933323170;"15213592@N03";1079064839;19;"Transport";133;15
1669014082;"15213592@N03";1192896547;19;"Transport";133;16
2910817317;"15213592@N03";1194252662;12;"Cultural";135;17
2911674558;"15213592@N03";1209607792;19;"Transport";133;18
2998070818;"15213592@N03";1223618444;19;"Transport";133;19
2997239283;"15213592@N03";1223618515;19;"Transport";133;19
2997253549;"15213592@N03";1223618553;19;"Transport";133;19
2997264883;"15213592@N03";1223618565;19;"Transport";133;19
2997275489;"15213592@N03";1223618711;19;"Transport";133;19
2998129628;"15213592@N03";1223618729;19;"Transport";133;19
2998139000;"15213592@N03";1223618802;19;"Transport";133;19
2998149276;"15213592@N03";1223618844;19;"Transport";133;19
2997319437;"15213592@N03";1223618851;19;"Transport";133;19
2997329021;"15213592@N03";1223618901;19;"Transport";133;19
2998179884;"15213592@N03";1223618944;19;"Transport";133;19
2997358871;"15213592@N03";1224831225;17;"Transport";302;20
3048681869;"15213592@N03";1226703112;7;"Park";329;21
3048684915;"15213592@N03";1226703133;7;"Park";329;21
3048688301;"15213592@N03";1226703144;7;"Park";329;21
3049532048;"15213592@N03";1226703153;7;"Park";329;21
3049535760;"15213592@N03";1226703166;7;"Park";329;21
3048700181;"15213592@N03";1226703175;7;"Park";329;21
3049548038;"15213592@N03";1226703186;7;"Park";329;21
3048711353;"15213592@N03";1226703198;7;"Park";329;21
3048720753;"15213592@N03";1226703344;7;"Park";329;21
3049564150;"15213592@N03";1226703369;7;"Park";329;21
3049567960;"15213592@N03";1226703378;7;"Park";329;21
3048731591;"15213592@N03";1226703390;7;"Park";329;21
3031806738;"15213592@N03";1226704447;22;"Entertainment";177;21
3031811464;"15213592@N03";1226704471;22;"Entertainment";177;21
3031814080;"15213592@N03";1226704507;22;"Entertainment";177;21
3031816526;"15213592@N03";1226704551;22;"Entertainment";177;21
3031818706;"15213592@N03";1226704570;22;"Entertainment";177;21
3030981633;"15213592@N03";1226704592;22;"Entertainment";177;21
3030983699;"15213592@N03";1226704649;7;"Park";329;21
3031825620;"15213592@N03";1226704673;7;"Park";329;21
3030988621;"15213592@N03";1226704717;7;"Park";329;21
3031833830;"15213592@N03";1226704787;7;"Park";329;21
3030996615;"15213592@N03";1226704861;7;"Park";329;21
3031838642;"15213592@N03";1226704871;7;"Park";329;21
3031003489;"15213592@N03";1226704882;7;"Park";329;21
3031005829;"15213592@N03";1226704896;7;"Park";329;21
3031848606;"15213592@N03";1226704916;7;"Park";329;21
3031011299;"15213592@N03";1226704930;7;"Park";329;21
3031856278;"15213592@N03";1226704950;7;"Park";329;21
3031858762;"15213592@N03";1226704969;7;"Park";329;21
3031021035;"15213592@N03";1226704982;7;"Park";329;21
3031025647;"15213592@N03";1226704995;7;"Park";329;21
3031031579;"15213592@N03";1226705012;7;"Park";329;21
3031038267;"15213592@N03";1226705024;7;"Park";329;21
3031883594;"15213592@N03";1226705039;7;"Park";329;21
3031102573;"15213592@N03";1226705284;19;"Transport";133;21
3031947988;"15213592@N03";1226705295;19;"Transport";133;21
3031953560;"15213592@N03";1226705308;19;"Transport";133;21
3031959214;"15213592@N03";1226705323;19;"Transport";133;21
3031964806;"15213592@N03";1226705399;19;"Transport";133;21
3031969720;"15213592@N03";1226705411;19;"Transport";133;21
3031136005;"15213592@N03";1226705424;19;"Transport";133;21
3031981902;"15213592@N03";1226705439;19;"Transport";133;21
3031147877;"15213592@N03";1226705451;19;"Transport";133;21
3031153917;"15213592@N03";1226705462;19;"Transport";133;21
3031160153;"15213592@N03";1226705501;19;"Transport";133;21
3032011060;"15213592@N03";1226705548;19;"Transport";133;21
3031176831;"15213592@N03";1226705561;19;"Transport";133;21
3047913790;"15213592@N03";1226805632;2;"Structure";17;22
3047916980;"15213592@N03";1226805779;2;"Structure";17;22
3047083849;"15213592@N03";1226805963;2;"Structure";17;22
3047089687;"15213592@N03";1226806372;2;"Structure";17;22
3033612409;"15213592@N03";1226808003;19;"Transport";133;22
3106658286;"15213592@N03";1228617919;16;"Transport";11;23
3105834287;"15213592@N03";1229126160;7;"Park";329;24
3105840301;"15213592@N03";1229126227;7;"Park";329;24
3106681900;"15213592@N03";1229126721;7;"Park";329;24
3106688206;"15213592@N03";1229127078;7;"Park";329;24
3105864119;"15213592@N03";1229127685;7;"Park";329;24
3106706610;"15213592@N03";1229127729;7;"Park";329;24
3106714076;"15213592@N03";1229128303;7;"Park";329;24
3106720110;"15213592@N03";1229128361;7;"Park";329;24
3105894145;"15213592@N03";1229128370;7;"Park";329;24
3105902109;"15213592@N03";1229128525;7;"Park";329;24
3105909097;"15213592@N03";1229128635;7;"Park";329;24
3105915205;"15213592@N03";1229128696;7;"Park";329;24
3105921075;"15213592@N03";1229128761;7;"Park";329;24
3105926773;"15213592@N03";1229129105;7;"Park";329;24
3105932527;"15213592@N03";1229129126;7;"Park";329;24
3105938851;"15213592@N03";1229129509;7;"Park";329;24
3105944539;"15213592@N03";1229129683;7;"Park";329;24
3106783070;"15213592@N03";1229130449;7;"Park";329;24
3105955441;"15213592@N03";1229130752;7;"Park";329;24
3106794150;"15213592@N03";1229130791;7;"Park";329;24
3278163906;"15213592@N03";1234558891;20;"Transport";300;25
3277346265;"15213592@N03";1234558919;20;"Transport";300;25
3277350253;"15213592@N03";1234558934;20;"Transport";300;25
3278174920;"15213592@N03";1234558961;20;"Transport";300;25
3278177234;"15213592@N03";1234558973;20;"Transport";300;25
3277359317;"15213592@N03";1234558983;20;"Transport";300;25
3278184002;"15213592@N03";1234558997;20;"Transport";300;25
3277366717;"15213592@N03";1234559021;20;"Transport";300;25
3277370015;"15213592@N03";1234559029;20;"Transport";300;25
3277374061;"15213592@N03";1234559086;20;"Transport";300;25
3299799536;"15213592@N03";1235261887;1;"Structure";256;26
3298978099;"15213592@N03";1235261905;1;"Structure";256;26
3299810712;"15213592@N03";1235261919;1;"Structure";256;26
3299817136;"15213592@N03";1235261962;1;"Structure";256;26
3299821252;"15213592@N03";1235261977;1;"Structure";256;26
3299828368;"15213592@N03";1235261999;1;"Structure";256;26
3299006435;"15213592@N03";1235262022;1;"Structure";256;26
3299010581;"15213592@N03";1235262059;1;"Structure";256;26
3299845392;"15213592@N03";1235262121;1;"Structure";256;26
3299020323;"15213592@N03";1235262129;1;"Structure";256;26
3299853862;"15213592@N03";1235262157;1;"Structure";256;26
3299857254;"15213592@N03";1235262191;1;"Structure";256;26
3299865142;"15213592@N03";1235262223;1;"Structure";256;26
3299877298;"15213592@N03";1235262292;22;"Entertainment";177;26
3299880600;"15213592@N03";1235262304;22;"Entertainment";177;26
3299055261;"15213592@N03";1235262366;22;"Entertainment";177;26
3299058967;"15213592@N03";1235262387;22;"Entertainment";177;26
3299893000;"15213592@N03";1235262411;22;"Entertainment";177;26
3299069631;"15213592@N03";1235262427;22;"Entertainment";177;26
3299074489;"15213592@N03";1235262443;22;"Entertainment";177;26
3299078069;"15213592@N03";1235262459;22;"Entertainment";177;26
3299910664;"15213592@N03";1235262554;22;"Entertainment";177;26
3299087701;"15213592@N03";1235262601;22;"Entertainment";177;26
3299092029;"15213592@N03";1235262641;22;"Entertainment";177;26
3299097473;"15213592@N03";1235262676;22;"Entertainment";177;26
3299929308;"15213592@N03";1235262805;22;"Entertainment";177;26
3299103877;"15213592@N03";1235262834;22;"Entertainment";177;26
3299936538;"15213592@N03";1235262871;22;"Entertainment";177;26
3299941904;"15213592@N03";1235262987;7;"Park";329;26
3299947284;"15213592@N03";1235263005;7;"Park";329;26
3299950920;"15213592@N03";1235263094;7;"Park";329;26
3299125679;"15213592@N03";1235263170;7;"Park";329;26
3299958686;"15213592@N03";1235263194;7;"Park";329;26
3299963356;"15213592@N03";1235263216;7;"Park";329;26
3299140561;"15213592@N03";1235263250;7;"Park";329;26
3299145367;"15213592@N03";1235263322;7;"Park";329;26
3299150945;"15213592@N03";1235263333;7;"Park";329;26
3299155175;"15213592@N03";1235263342;7;"Park";329;26
3299160809;"15213592@N03";1235263369;7;"Park";329;26
3299995986;"15213592@N03";1235263379;7;"Park";329;26
3300000010;"15213592@N03";1235263417;7;"Park";329;26
3300003476;"15213592@N03";1235263441;7;"Park";329;26
3299179227;"15213592@N03";1235263518;7;"Park";329;26
3299184555;"15213592@N03";1235263710;7;"Park";329;26
3300017502;"15213592@N03";1235263719;7;"Park";329;26
3299194015;"15213592@N03";1235263729;7;"Park";329;26
3300028466;"15213592@N03";1235263741;7;"Park";329;26
3299205771;"15213592@N03";1235263777;7;"Park";329;26
3299210719;"15213592@N03";1235263909;7;"Park";329;26
3299215087;"15213592@N03";1235263919;7;"Park";329;26
3299219709;"15213592@N03";1235264139;18;"Transport";87;26
