Entertainment,Structure,Park,Historical,Museum,Cultural
0.012049257600754183,1.0,0.10178529342446382,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.5714285714285714,0.10994579307094038,0.42857142857142855
0.012049257600754183,1.0,0.10178529342446382,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.5,0.5,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,1.0,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,1.0,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,1.0,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,1.0,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,1.0,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,1.0,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,1.0,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,1.0,0.20681121847749234
0.3548387096774194,0.3064516129032258,0.08064516129032258,0.24193548387096775,0.10994579307094038,0.016129032258064516
0.012049257600754183,0.08333333333333333,0.9166666666666666,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,1.0,0.20681121847749234
0.012049257600754183,1.0,0.10178529342446382,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,1.0,0.10178529342446382,0.24036648597690313,0.10994579307094038,0.20681121847749234
1.0,0.32904195144944615,0.10178529342446382,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,1.0,0.10178529342446382,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,1.0,0.20681121847749234
0.012049257600754183,1.0,0.10178529342446382,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,1.0,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,0.10994579307094038,1.0
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,0.10994579307094038,1.0
0.012049257600754183,1.0,0.10178529342446382,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,1.0,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.6666666666666666,0.10994579307094038,0.3333333333333333
0.012049257600754183,0.32904195144944615,0.10178529342446382,1.0,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,1.0,0.20681121847749234
0.012049257600754183,0.32904195144944615,1.0,0.24036648597690313,0.10994579307094038,0.20681121847749234
0.012049257600754183,0.32904195144944615,0.10178529342446382,0.24036648597690313,0.10994579307094038,1.0
0.012049257600754183,0.09090909090909091,0.10178529342446382,0.7272727272727273,0.045454545454545456,0.13636363636363635
